Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Oil,Surfactant,Cosurfactant,API_Name,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,Objective Function
8.06,20.0,15.0,2.3,Capryol_90,Tween_20,Ethanol,Feno,143.02224465471951,0.3509900319711286,-2.773888094308042,0.0006167246339305,100.88417201928635,1.856364032760816e-05,0.9610559377907668
8.32,20.0,19.38,2.2,Capryol_90,Tween_20,Transcutol_HP,Feno,38.73890544349746,0.3198620044240369,-3.398705303432617,0.0008505100697478,92.78496442516968,1.8831348539728495e-05,0.9537158834146322
8.06,20.0,11.75,2.3,Capryol_90,Tween_20,PEG_400,Feno,174.71183601794965,0.3702438689931661,-3.06314051781953,0.000264371037008,100.16142023599022,1.8536046220872544e-05,1.0848763914546131
7.19,20.0,15.63,2.4,Capryol_90,Tween_80,Transcutol_HP,Feno,106.32210556106745,0.3664453447246524,-2.4149098386671155,0.0002194963138147,97.32211223297328,1.7877130105593998e-05,0.98377802444885
8.06,20.0,15.0,2.4,Capryol_90,Tween_20,Propylene_Glycol,Feno,133.2752145921313,0.3570468383116613,-3.286133806407185,0.0008014253853689,98.880238422719,1.803744743876893e-05,1.033813832863953
