Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Oil,Surfactant,Cosurfactant,API_Name,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,Objective Function
5.26,20.2,5.12,0.1,Capmul_MCM,Tween_20,Propylene_Glycol,Feno,115.5995715994587,0.3812688348618746,-3.4375181749108767,0.0012481636289128,106.15330149792644,1.4213725555555557e-05,1.7730283521226893
5.18,20.05,10.12,0.1,Capmul_MCM,Tween_20,Transcutol_HP,Feno,112.92018223256328,0.3812782552428322,-3.448501331708231,0.0003214447173545,104.18633432848188,1.4213725555555557e-05,1.6165486095865589
5.18,20.8,5.25,0.1,Capmul_MCM,Tween_80,Propylene_Glycol,Feno,137.41524915871267,0.3812595995460053,-3.317082660424207,0.000853800690666,101.31983644458798,1.4213725555555557e-05,1.680675206790717
5.44,20.05,5.62,0.0,Capmul_MCM,Tween_80,PEG_400,Feno,149.6224062502155,0.3812859400971956,-4.0219707670120055,0.0003976942630026,99.42916239289312,1.4213725555555557e-05,1.6870958845659203
5.35,20.2,10.0,0.1,Capmul_MCM,Tween_80,Transcutol_HP,Feno,127.30487413284555,0.3812677089888838,-3.412564352616202,0.000219495119176,98.9749848258244,1.4213725555555557e-05,1.610740987261673
