Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Oil,Surfactant,Cosurfactant,API_Name,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,Objective Function
5.26,20.95,14.88,2.6,Maisine_Oil,Tween_20,Propylene_Glycol,A190,73.05602315078417,0.3542900916007721,-3.310188943857789,0.0205324639048551,97.61418986732876,1.7795572218512636e-05,1.9590812261838857
5.18,24.25,14.88,2.5,Maisine_Oil,Tween_20,Ethanol,A190,49.98335031764783,0.3483807109118366,-3.330076570616723,0.0043200133505625,97.6144003556635,1.7795572222222217e-05,1.135323502544226
5.0,23.95,14.5,2.6,Maisine_Oil,Tween_20,Ethanol,A190,49.92424806611854,0.3484191829339286,-3.3308875202057617,0.0043200133505625,97.614391839041,1.7795572222222217e-05,1.1354091269516142
5.0,21.1,14.5,2.6,Maisine_Oil,Tween_20,Propylene_Glycol,A190,72.7452061846794,0.354323209919377,-3.310356716663217,0.0205324639048551,97.614190641531,1.7795572221841554e-05,1.9591548100373108
5.18,20.65,14.38,3.0,Capmul_MCM,Tween_20,Propylene_Glycol,A190,63.59200224267871,0.3639919688295491,-3.338607507983096,0.0024754089466043,97.6142502241804,1.7795572222222217e-05,1.077787276323023
