Exp,Rep,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Oil,Surfactant,Cosurfactant,API_Name,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability
F-A5,R2,8.0625,20,15,2.37,Capryol_90,Tween_20,Propylene_Glycol,Feno,11.06333333,0.208,-3.106666667,0,102.0666667,1.13E-05
F-A1,R3,8.0625,20,15,2.295,Capryol_90,Tween_20,Ethanol,Feno,12.51,0.157666667,-3.096666667,0,96.76666667,8.18E-06
F-A2,R3,8.325,20,19.375,2.25,Capryol_90,Tween_20,Transcutol_HP,Feno,21.71,0.721,-2.91,0,86.23333333,1.70E-05
F-A3,R3,8.0625,20,11.75,2.31,Capryol_90,Tween_20,PEG_400,Feno,11.52333333,0.182666667,-3.2,0,113.0166667,8.76E-06
F-A4,R3,7.1875,20,15.625,2.4,Capryol_90,Tween_80,Transcutol_HP,Feno,119.5666667,0.390333333,-2.183333333,0,87.78333333,6.56E-06
F-A5,R3,8.0625,20,15,2.37,Capryol_90,Tween_20,Propylene_Glycol,Feno,11.59333333,0.164666667,-3.476666667,0,98.70666667,1.18E-05
F-B1,R1,8.94,27.55,13.88,2.3,Capryol_90,Tween_20,Transcutol_HP,Feno,12.12,0.306666667,-3.83,0,102.0333333,2.49E-05
F-B2,R1,8.06,27.25,5.5,1.7,Capmul_MCM,Tween_20,PEG_400,Feno,11.90666667,0.202333333,-3.97,0,111.61,1.21E-05
F-B3,R1,8.68,28.75,14,2.5,Capryol_90,Tween_20,Transcutol_HP,Feno,13.32333333,0.392,-2.773333333,0,102.1766667,1.77E-05
F-B4,R1,7.19,27.4,13.5,1.7,Capryol_90,Tween_80,Propylene_Glycol,Feno,145.4666667,0.327333333,-2.676666667,0,101.4133333,1.14E-05
F-B5,R1,5,40,15.5,1.6,Capmul_MCM,Tween_80,PEG_400,Feno,11.19333333,0.067666667,-4.313333333,0,101.2433333,1.28E-05
F-B1,R2,8.94,27.55,13.88,2.3,Capryol_90,Tween_20,Transcutol_HP,Feno,12.74666667,0.355666667,-2.5,0,96.62333333,2.08E-05
F-B2,R2,8.06,27.25,5.5,1.7,Capmul_MCM,Tween_20,PEG_400,Feno,11.24,0.146666667,-2.563333333,0,115.94,1.03E-05
F-B3,R2,8.68,28.75,14,2.5,Capryol_90,Tween_20,Transcutol_HP,Feno,12.18,0.309,-2.423333333,0,97.07333333,1.81E-05
F-B4,R2,7.19,27.4,13.5,1.7,Capryol_90,Tween_80,Propylene_Glycol,Feno,156.4333333,0.359333333,-2.29,0,103.4233333,1.07E-05
F-B5,R2,5,40,15.5,1.6,Capmul_MCM,Tween_80,PEG_400,Feno,11.25333333,0.063,-4.423333333,0,93.07666667,1.60E-05
F-B1,R3,8.94,27.55,13.88,2.3,Capryol_90,Tween_20,Transcutol_HP,Feno,13.03666667,0.345333333,-2.733333333,0,101.9366667,1.66E-05
F-B2,R3,8.06,27.25,5.5,1.7,Capmul_MCM,Tween_20,PEG_400,Feno,15.25333333,0.236666667,-4.693333333,0,114.4033333,1.85E-05
F-B3,R3,8.68,28.75,14,2.5,Capryol_90,Tween_20,Transcutol_HP,Feno,16.26,0.273666667,-4.11,0,85.55,1.55E-05
F-B4,R3,7.19,27.4,13.5,1.7,Capryol_90,Tween_80,Propylene_Glycol,Feno,106.5,0.569,-3.453333333,0,95.13,9.93E-06
F-B5,R3,5,40,15.5,1.6,Capmul_MCM,Tween_80,PEG_400,Feno,11.07666667,0.060666667,-4.083333333,0,93.19,1.57E-05
F-C1,R1,5.26,20.2,5.12,0.1,Capmul_MCM,Tween_20,Propylene_Glycol,Feno,12.56666667,0.197,-2.813333333,0,101.91,1.90E-05
F-C2,R1,5.18,20.05,10.12,0.1,Capmul_MCM,Tween_20,Transcutol_HP,Feno,13.71,0.334,-3.1,0,95.38,1.12E-05
F-C3,R1,5.18,20.8,5.25,0.1,Capmul_MCM,Tween_80,Propylene_Glycol,Feno,11.50333333,0.170333333,-5.39,0,92.59666667,1.19E-05
F-C4,R1,5.44,20.05,5.62,0,Capmul_MCM,Tween_80,PEG_400,Feno,10000,1,100,1,0,0
F-C5,R1,5.35,20.2,10,0.1,Capmul_MCM,Tween_80,Transcutol_HP,Feno,11.74,0.140666667,-4.296666667,0,95.58,1.55E-05
F-C1,R2,5.26,20.2,5.12,0.1,Capmul_MCM,Tween_20,Propylene_Glycol,Feno,14.60666667,0.237666667,-2.936666667,0,96.71,1.19E-05
F-C2,R2,5.18,20.05,10.12,0.1,Capmul_MCM,Tween_20,Transcutol_HP,Feno,18.24,0.573666667,-2.836666667,0,98.11333333,9.98E-06
F-C3,R2,5.18,20.8,5.25,0.1,Capmul_MCM,Tween_80,Propylene_Glycol,Feno,11.66666667,0.103,-4.83,0,92.66,1.93E-05
F-C4,R2,5.44,20.05,5.62,0,Capmul_MCM,Tween_80,PEG_400,Feno,10000,1,100,1,0,0
F-C5,R2,5.35,20.2,10,0.1,Capmul_MCM,Tween_80,Transcutol_HP,Feno,11.91,0.107333333,-4.383333333,0,86.19,1.70E-05
F-C1,R3,5.26,20.2,5.12,0.1,Capmul_MCM,Tween_20,Propylene_Glycol,Feno,13.11,0.232,-2.816666667,0,93.99666667,1.44E-05
F-C2,R3,5.18,20.05,10.12,0.1,Capmul_MCM,Tween_20,Transcutol_HP,Feno,13.95666667,0.344333333,-3.86,0,87.43,1.23E-05
F-C3,R3,5.18,20.8,5.25,0.1,Capmul_MCM,Tween_80,Propylene_Glycol,Feno,12.12,0.126333333,-4.76,0,91.93333333,1.91E-05
F-C4,R3,5.44,20.05,5.62,0,Capmul_MCM,Tween_80,PEG_400,Feno,10000,1,100,1,0,0
F-C5,R3,5.35,20.2,10,0.1,Capmul_MCM,Tween_80,Transcutol_HP,Feno,12,0.120666667,-2.896666667,0,89.90333333,1.41E-05
B4_F,2,8.25,17,23,1.65,Capryol_90,Tween_20,Ethanol,Feno,216.5,0.373666667,-3.443333333,0,96.54973078,1.03E-05
B4_F,3,8.25,17,23,1.65,Capryol_90,Tween_20,Ethanol,Feno,247.6666667,0.410333333,-2.72,0,99.83749181,1.34E-05
F5_F,2,10,20,20,2,Capryol_90,Tween_20,PEG_400,Feno,12.72333333,0.166666667,-4.216666667,0,104.1213814,2.00E-05
F5_F,3,10,20,20,2,Capryol_90,Tween_20,PEG_400,Feno,13.01666667,0.198,-3.073333333,0,102.8669012,1.76E-05
E2_F,2,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,Feno,13.16,0.229666667,-4.216666667,0,100.8299316,1.75E-05
E2_F,3,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,Feno,11.81666667,0.259,-3.386666667,0,100.9490996,1.35E-05
B4_A,2,8.25,17,23,1.65,Capryol_90,Tween_20,Ethanol,A190,20.52333333,0.37,-3.633333333,0,106.5221803,1.84E-05
B4_A,3,8.25,17,23,1.65,Capryol_90,Tween_20,Ethanol,A190,26.21666667,0.338333333,-4.19,0,102.4241058,2.08E-05
F5_A,2,10,20,20,2,Capryol_90,Tween_20,PEG_400,A190,162.9666667,0.274,-2.37,0,107.6195789,3.26E-05
F5_A,3,10,20,20,2,Capryol_90,Tween_20,PEG_400,A190,160.5333333,0.260666667,-2.86,0,105.0612197,2.97E-05
E2_A,2,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,A190,69.38333333,0.259666667,-3.626666667,0,104.7945295,2.22E-05
E2_A,3,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,A190,69.53666667,0.249666667,-4.366666667,0,102.2205929,1.93E-05
