Exp,Rep,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,size_score (w=1),pdi_score (w=1),zeta_score (w=1),sep_score (w=10),objective
A2,3,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,21.6,18.4,1.65,134.8666667,0.29,-2.446666667,0,0.038740740777777775,0.0725,0.0,0.0,0.11124074077777776
Ran5,1,Capryol_90,Tween_20,PEG_400,blank,10.0,20.0,20.0,2.0,145.8333333,0.252666667,-3.566666667,0,0.05092592588888888,0.06316666675,0.0,0.0,0.11409259263888888
F5_A,1,Capryol_90,Tween_20,PEG_400,A190,10.0,20.0,20.0,2.0,149.9666667,0.247666667,-2.743333333,0,0.05551851855555554,0.06191666675,0.0,0.0,0.11743518530555555
Ran5,3,Capryol_90,Tween_20,PEG_400,blank,10.0,20.0,20.0,2.0,148.6333333,0.272,-2.246666667,0,0.054037037,0.068,0.0,0.0,0.12203703700000001
Ran5,2,Capryol_90,Tween_20,PEG_400,blank,10.0,20.0,20.0,2.0,149.9666667,0.283,-3.203333333,0,0.05551851855555554,0.07075,0.0,0.0,0.12626851855555554
A1,3,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,21.6,18.4,1.515,148.0666667,0.292,-2.49,0,0.05340740744444446,0.073,0.0,0.0,0.12640740744444445
F5_A,3,Capryol_90,Tween_20,PEG_400,A190,10.0,20.0,20.0,2.0,160.5333333,0.260666667,-2.86,0,0.06725925922222223,0.06516666675,0.0,0.0,0.13242592597222225
F5_A,2,Capryol_90,Tween_20,PEG_400,A190,10.0,20.0,20.0,2.0,162.9666667,0.274,-2.37,0,0.06996296299999999,0.0685,0.0,0.0,0.138462963
Ran6,3,Capryol_90,Tween_80,Ethanol,blank,13.3333333,30.0,10.0,0.0,167.1333333,0.299,-2.04,0,0.07459259255555556,0.07475,0.0,0.0,0.14934259255555554
B4_F,1,Capryol_90,Tween_20,Ethanol,Feno,8.25,17.0,23.0,1.65,171.5666667,0.296666667,-2.536666667,0,0.07951851855555557,0.07416666675,0.0,0.0,0.15368518530555558
Ran9,3,Capmul_MCM,Tween_80,Transcutol_HP,blank,10.0,13.3,26.7,3.0,193.1333333,0.218,-2.586666667,0,0.10348148144444445,0.0545,0.0,0.0,0.15798148144444446
Ran6,1,Capryol_90,Tween_80,Ethanol,blank,13.3333333,30.0,10.0,0.0,180.5,0.291333333,-2.393333333,0,0.08944444444444444,0.07283333325,0.0,0.0,0.16227777769444446
Ran9,1,Capmul_MCM,Tween_80,Transcutol_HP,blank,10.0,13.3,26.7,3.0,232.2333333,0.245333333,-2.316666667,0,0.1469259258888889,0.06133333325,0.0,0.0,0.20825925913888887
Ran9,2,Capmul_MCM,Tween_80,Transcutol_HP,blank,10.0,13.3,26.7,3.0,257.0,0.251666667,-2.72,0,0.17444444444444446,0.06291666675,0.0,0.0,0.23736111119444447
Ran3,1,Capmul_MCM,Tween_80,Propylene_Glycol,blank,10.0,10.0,30.0,2.0,274.2,0.265333333,-2.98,0,0.19355555555555554,0.06633333325,0.0,0.0,0.25988888880555555
Ran3,3,Capmul_MCM,Tween_80,Propylene_Glycol,blank,10.0,10.0,30.0,2.0,273.6333333,0.293333333,-2.636666667,0,0.1929259258888889,0.07333333325,0.0,0.0,0.2662592591388889
Misc42,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,1.0,97.35666667,0.303333333,-2.74,0,0.0,0.303333333,0.0,0.0,0.303333333
