Exp,Rep,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,size_score (w=1),pdi_score (w=1),zeta_score (w=1),sep_score (w=10),objective
Ran2,1,Maisine_Oil,Labrasol,PEG_400,blank,11.6666667,16.7,23.3,3.0,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
Ran1,1,Soybean_Oil,Tween_20,PEG_400,blank,6.6666667,30.0,10.0,2.5,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
Ran4,1,Maisine_Oil,Labrasol,Transcutol_HP,blank,10.0,23.3,16.7,2.0,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
Ran8,1,Capryol_90,Labrasol,Ethanol,blank,8.3333333,16.7,23.3,1.0,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
Ran2,2,Maisine_Oil,Labrasol,PEG_400,blank,11.6666667,16.7,23.3,3.0,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
Ran10,2,Soybean_Oil,Tween_20,Transcutol_HP,blank,8.3333333,23.3,16.7,1.5,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
E1,3,Maisine_Oil,Tween_80,Propylene_Glycol,blank,7.875,15.0,25.0,2.025,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
E3,2,Oleic_Acid,Tween_20,Tween_80,blank,20.625,10.0,30.0,2.325,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
E3,1,Oleic_Acid,Tween_20,Tween_80,blank,20.625,10.0,30.0,2.325,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
E3,3,Oleic_Acid,Tween_20,Tween_80,blank,20.625,10.0,30.0,2.325,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
E1,2,Maisine_Oil,Tween_80,Propylene_Glycol,blank,7.875,15.0,25.0,2.025,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
