Exp,Rep,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,size_score (w=3),pdi_score  (w=2),zeta_score (w=1),dl_score   (w=2),perm_score (w=3),formulation_loss,stability_factor,objective
A-B4,R1,Capmul_MCM,Tween_20,PEG_400,A190,8.24,25.3,18.5,2.1,12.33333333,0.216,-3.793333333,0,105.9766667,2.2e-05,0.0,0.1288888888888889,0.0,0.07602564230769214,-0.019999999999999976,0.34982906239316214,1.0,0.34982906239316214
E2_A,2,Capryol_90,Tween_20,Transcutol_HP,A190,8.325,18.5,21.5,2.025,69.38333333,0.259666667,-3.626666667,0,104.7945295,2.22e-05,0.0,0.17740740777777778,0.0,0.03688099615384612,-0.021999999999999992,0.36257680786324786,1.0,0.36257680786324786
F-C3,R2,Capmul_MCM,Tween_80,Propylene_Glycol,Feno,5.18,20.8,5.25,0.1,11.66666667,0.103,-4.83,0,92.66,1.93e-05,0.0,0.003333333333333321,0.0,0.1284615384615386,0.035,0.36858974358974383,1.0,0.36858974358974383
F5_A,1,Capryol_90,Tween_20,PEG_400,A190,10.0,20.0,20.0,2.0,149.9666667,0.247666667,-2.743333333,0,98.48,2.42e-05,0.05551851855555554,0.16407407444444444,0.0,0.011692307692307662,-0.04199999999999997,0.3920883199401709,1.0,0.3920883199401709
F-C1,R1,Capmul_MCM,Tween_20,Propylene_Glycol,Feno,5.26,20.2,5.12,0.1,12.56666667,0.197,-2.813333333,0,101.91,1.9e-05,0.0,0.10777777777777778,0.0,0.014692307692307666,0.050000000000000024,0.394940170940171,1.0,0.394940170940171
A-C5,R3,Capmul_MCM,Tween_20,Propylene_Glycol,A190,5.18,20.65,14.38,3.0,17.17,0.38,-3.873333333,0,103.39,2.9e-05,0.0,0.3111111111111111,0.0,0.02607692307692308,-0.08999999999999998,0.4043760683760685,1.0,0.4043760683760685
A-A2,R3,Capryol_90,Tween_20,Ethanol,A190,8.0625,40.0,8.125,1.98,10.15333333,0.143666667,-2.696666667,0,111.69,2.92e-05,0.0,0.048518518888888876,0.0,0.2957692307692307,-0.092,0.41257549931623905,1.0,0.41257549931623905
A-A5,R3,Maisine_Oil,Tween_20,Transcutol_HP,A190,5.35,24.25,15.625,2.025,13.73,0.095,-3.123333333,0,103.16,1.73e-05,0.0,-0.0011111111111111122,0.0,0.02430769230769228,0.13500000000000006,0.4513931623931625,1.0,0.4513931623931625
E2_A,3,Capryol_90,Tween_20,Transcutol_HP,A190,8.325,18.5,21.5,2.025,69.53666667,0.249666667,-4.366666667,0,102.2205929,1.93e-05,0.0,0.16629629666666668,0.0,0.017081483846153843,0.035,0.4717555610256411,1.0,0.4717555610256411
F5_A,2,Capryol_90,Tween_20,PEG_400,A190,10.0,20.0,20.0,2.0,162.9666667,0.274,-2.37,0,107.6195789,3.26e-05,0.06996296299999999,0.19333333333333336,0.0,0.1392145730769228,-0.12599999999999997,0.49698470182051235,1.0,0.49698470182051235
F-C3,R3,Capmul_MCM,Tween_80,Propylene_Glycol,Feno,5.18,20.8,5.25,0.1,12.12,0.126333333,-4.76,0,91.93333333,1.91e-05,0.0,0.029259258888888872,0.0,0.1564102565384617,0.045000000000000075,0.5063390308547013,1.0,0.5063390308547013
B4_A,3,Capryol_90,Tween_20,Ethanol,A190,8.25,17.0,23.0,1.65,26.21666667,0.338333333,-4.19,0,102.4241058,2.08e-05,0.0,0.26481481444444444,0.0,0.018646967692307743,-0.007999999999999991,0.5429235642735043,1.0,0.5429235642735043
A-A2,R1,Capryol_90,Tween_20,Ethanol,A190,8.0625,40.0,8.125,1.98,9.602,0.106333333,-3.553333333,0,117.3933333,3.59e-05,0.0,0.007037036666666663,0.0,0.5151282038461537,-0.15899999999999997,0.5673304810256408,1.0,0.5673304810256408
F-B1,R2,Capryol_90,Tween_20,Transcutol_HP,Feno,8.94,27.55,13.88,2.3,12.74666667,0.355666667,-2.5,0,96.62333333,2.08e-05,0.0,0.2840740744444444,0.0,0.025974359000000044,-0.007999999999999991,0.5960968668888889,1.0,0.5960968668888889
F5_F,3,Capryol_90,Tween_20,PEG_400,Feno,10.0,20.0,20.0,2.0,13.01666667,0.198,-3.073333333,0,102.8669012,1.76e-05,0.0,0.1088888888888889,0.0,0.02205308615384616,0.12000000000000002,0.6218839500854703,1.0,0.6218839500854703
F-A3,R2,Capryol_90,Tween_20,PEG_400,Feno,8.0625,20.0,11.75,2.31,11.36,0.155333333,-4.053333333,0,97.74666667,1.67e-05,0.0,0.06148148111111109,0.0,0.017333333307692336,0.1650000000000001,0.6526296288376071,1.0,0.6526296288376071
E2_F,2,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,18.5,21.5,2.025,13.16,0.229666667,-4.216666667,0,100.8299316,1.75e-05,0.0,0.14407407444444442,0.0,0.006384089230769191,0.12500000000000014,0.6759163273504276,1.0,0.6759163273504276
A-C3,R2,Maisine_Oil,Tween_20,Ethanol,A190,5.0,23.95,14.5,2.6,13.75,0.178,-3.71,0,113.95,2.71e-05,0.0,0.08666666666666666,0.0,0.3826923076923078,-0.071,0.7257179487179489,1.0,0.7257179487179489
A-C3,R1,Maisine_Oil,Tween_20,Ethanol,A190,5.0,23.95,14.5,2.6,13.58333333,0.166333333,-2.736666667,0,116.8966667,3.17e-05,0.0,0.07370370333333333,0.0,0.4960256423076922,-0.11699999999999997,0.7884586912820511,1.0,0.7884586912820511
F-B3,R2,Capryol_90,Tween_20,Transcutol_HP,Feno,8.68,28.75,14.0,2.5,12.18,0.309,-2.423333333,0,97.07333333,1.81e-05,0.0,0.23222222222222222,0.0,0.022512820538461563,0.0950000000000001,0.7944700855213678,1.0,0.7944700855213678
F-B5,R2,Capmul_MCM,Tween_80,PEG_400,Feno,5.0,40.0,15.5,1.6,11.25333333,0.063,-4.423333333,0,93.07666667,1.6e-05,0.0,-0.008222222222222223,0.0,0.11243589730769252,0.2000000000000001,0.8084273501709409,1.0,0.8084273501709409
