Exp,Rep,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,size_score (w=3),pdi_score  (w=2),zeta_score (w=1),dl_score   (w=2),perm_score (w=3),formulation_loss,stability_factor,objective
D3,1,Capryol_90,Tween_80,Tween_80,blank,7.875,10.5,29.5,0.825,13.24,0.117,-2.43,0,,,0.0,0.01888888888888889,0.0,0.0,0.0,0.03777777777777778,1.0,0.03777777777777778
B4,2,Capryol_90,Tween_20,Ethanol,blank,8.25,17.0,23.0,1.65,10.96333333,0.119,-3.2,0,,,0.0,0.021111111111111098,0.0,0.0,0.0,0.042222222222222196,1.0,0.042222222222222196
B4,3,Capryol_90,Tween_20,Ethanol,blank,8.25,17.0,23.0,1.65,11.20666667,0.127,-3.71,0,,,0.0,0.029999999999999995,0.0,0.0,0.0,0.05999999999999999,1.0,0.05999999999999999
E2,3,Capryol_90,Tween_20,Transcutol_HP,blank,8.325,18.5,21.5,2.025,11.27,0.147,-4.05,0,,,0.0,0.052222222222222205,0.0,0.0,0.0,0.10444444444444441,1.0,0.10444444444444441
E2_A,1,Capryol_90,Tween_20,Transcutol_HP,A190,8.325,18.5,21.5,2.025,121.1666667,0.150333333,-2.226666667,0,96.49666667,2.34e-05,0.023518518555555548,0.05592592555555556,0.0,0.026948717923076952,-0.033999999999999975,0.13430484262393177,1.0,0.13430484262393177
E2,1,Capryol_90,Tween_20,Transcutol_HP,blank,8.325,18.5,21.5,2.025,10.97,0.18,-4.01,0,,,0.0,0.08888888888888888,0.0,0.0,0.0,0.17777777777777776,1.0,0.17777777777777776
D3,3,Capryol_90,Tween_80,Tween_80,blank,7.875,10.5,29.5,0.825,15.48,0.191,-2.3,0,,,0.0,0.10111111111111111,0.0,0.0,0.0,0.20222222222222222,1.0,0.20222222222222222
F5_F,2,Capryol_90,Tween_20,PEG_400,Feno,10.0,20.0,20.0,2.0,12.72333333,0.166666667,-4.216666667,0,104.1213814,2e-05,0.0,0.07407407444444443,0.0,0.03170293384615388,0.0,0.2115540165811966,1.0,0.2115540165811966
B3,3,Capryol_90,Tween_80,Tween_80,blank,8.025,11.0,29.0,2.55,16.72,0.224666667,-2.926666667,0,,,0.0,0.13851851888888886,0.0,0.0,0.0,0.2770370377777777,1.0,0.2770370377777777
D3,2,Capryol_90,Tween_80,Tween_80,blank,7.875,10.5,29.5,0.825,17.12,0.249,-1.96,0,,,0.0,0.16555555555555554,0.0,0.0,0.0,0.3311111111111111,1.0,0.3311111111111111
