Exp,n_reps,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,size_score (w=3),pdi_score  (w=2),zeta_score (w=1),dl_score   (w=2),perm_score (w=3),formulation_loss,stability_factor,objective
F5_F,3,Capryol_90,Tween_20,PEG_400,Feno,10.0,20.0,20.0,2.0,73.21333333333334,0.2845555556666666,-3.468888889,0.0,102.41498309999999,1.756666666666667e-05,0.0,0.20506172851851845,0.0,0.018576793076922973,0.12166666666666662,0.8122770431908828,1.0,0.8122770431908828
B4_A,3,Capryol_90,Tween_20,Ethanol,A190,8.25,17.0,23.0,1.6499999999999997,24.178888889999996,0.3353333333333333,-3.8200000000000003,0.0,106.57765093333335,1.886666666666667e-05,0.0,0.2614814814814814,0.0,0.09914042051282096,0.056666666666666574,0.8912438039886045,1.0,0.8912438039886045
E2_F,3,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,18.5,21.5,2.025,12.386666666666665,0.22266666666666668,-3.678888889,0.0,98.17412151,1.5966666666666667e-05,0.0,0.1362962962962963,0.0,0.014045219153846105,0.2016666666666667,0.9056830309002849,1.0,0.9056830309002849
E4,3,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,22.3,17.7,1.875,93.98666666666668,0.5126666666666666,-2.516666666666667,0.0,,,0.0,0.45851851851851844,0.0,0.0,0.0,0.9170370370370369,1.0,0.9170370370370369
D4,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.575,20.2,19.8,0.975,67.36,0.5343333333333334,-2.41,0.0,,,0.0,0.48259259259259274,0.0,0.0,0.0,0.9651851851851855,1.0,0.9651851851851855
C2,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.8,21.5,18.5,2.9249999999999994,79.65888889,0.541666667,-1.577777778,0.0,,,0.0,0.4907407411111111,0.0,0.0,0.0,0.9814814822222222,1.0,0.9814814822222222
C5,3,Capmul_MCM,Tween_20,Transcutol_HP,blank,7.875,10.5,29.5,2.67,135.54444443333333,0.48966666666666664,-3.5344444443333334,0.0,,,0.03949382714814814,0.4329629629629629,0.0,0.0,0.0,0.9844074073703701,1.0,0.9844074073703701
Ran3,3,Capmul_MCM,Tween_80,Propylene_Glycol,blank,10.0,10.0,30.0,2.0,273.1333333333334,0.2887777776666666,-2.7044444446666667,0.0,,,0.1923703703703704,0.20975308629629624,0.0,0.0,0.0,0.9966172837037037,1.0,0.9966172837037037
D2,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.2,19.8,0.975,83.29,0.557,-2.1799999999999997,0.0,,,0.0,0.5077777777777779,0.0,0.0,0.0,1.0155555555555558,1.0,1.0155555555555558
A4,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,21.0,19.0,2.85,76.53111111333334,0.5823333333333333,-2.4133333333333336,0.0,,,0.0,0.5359259259259258,0.0,0.0,0.0,1.0718518518518516,1.0,1.0718518518518516
DoE1,3,Oleic_Acid,Tween_80,PEG_400,A190,7.5,10.0,30.0,1.5,223.29999999999998,0.39966666666666667,-4.614444444666666,0.0,,,0.13699999999999998,0.3329629629629629,0.0,0.0,0.0,1.0769259259259258,1.0,1.0769259259259258
DoE4,3,Oleic_Acid,Tween_80,PEG_400,A190,7.5,30.0,10.0,1.5,309.47777776666663,0.37766666666666665,-5.634444444666667,0.0,,,0.23275308640740738,0.30851851851851847,0.0,0.0,0.0,1.315296296259259,1.0,1.315296296259259
D1,3,Capmul_MCM,Tween_20,Ethanol,blank,10.125,24.5,15.5,0.225,79.57666666666667,0.8146666666666667,-3.2933333333333334,0.0,,,0.0,0.794074074074074,0.0,0.0,0.0,1.588148148148148,1.0,1.588148148148148
DoE10,3,Oleic_Acid,Tween_80,PEG_400,A190,15.0,30.0,10.0,0.0,466.62222223333333,0.5944444443333333,-6.376666666666666,0.0,,,0.4073580247037037,0.5493827159259259,0.0,0.0,0.0,2.320839505962963,1.0,2.320839505962963
B4_F,3,Capryol_90,Tween_20,Ethanol,Feno,8.25,17.0,23.0,1.6499999999999997,211.91111113333332,0.36022222233333334,-2.9,0.0,99.13685196333334,1.0906666666666667e-05,0.12434567903703703,0.28913580259259264,0.0,0.006639600282051215,0.4546666666666667,2.328587842860399,1.0,2.328587842860399
DoE11,3,Oleic_Acid,Tween_80,PEG_400,A190,15.0,30.0,10.0,3.0,427.3222222333334,0.6723333333333333,-5.997777778,0.0,,,0.36369135803703706,0.6359259259259259,0.0,0.0,0.0,2.362925925962963,1.0,2.362925925962963
